ncessch,name,state_code,latitude,longitude,zip_code,city,address,school_type,school_type_text,total_students,total_09,total_10,total_11,total_12,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,free_reduced_lunch
44,HOLY SPIRIT CATHOLIC SCHOOL,AL,33.173709,-87.529118,35405,TUSCALOOSA,601 JAMES I HARRISON JR PKWY E,1,Regular elementary or secondary,229,47,35,37,34,163,29,20,6,0,1,10,0
226,JOHN CARROLL CATHOLIC HIGH SCHOOL,AL,33.45822,-86.802141,35209,BIRMINGHAM,300 LAKESHORE PKWY,1,Regular elementary or secondary,588,139,158,124,167,413,113,28,20,1,1,12,0
237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,AL,33.51008,-86.881243,35218,BIRMINGHAM,2001 19TH STREET ENSLEY,1,Regular elementary or secondary,255,67,71,58,59,1,247,7,0,0,0,0,0
394,ST JUDE EDUCATIONAL INSTITUTE,AL,32.35345,-86.327261,36108,MONTGOMERY,2048 W FAIRVIEW AVE,1,Regular elementary or secondary,129,27,30,20,33,0,129,0,0,0,0,0,0
714,MONTGOMERY CATHOLIC PREPARATORY SCHOOL,AL,32.33991,-86.215811,36116,MONTGOMERY,5350 VAUGHN RD,1,Regular elementary or secondary,776,97,87,77,59,555,111,53,34,0,2,21,0
827,MARENGO ACADEMY HIGH SCHOOL,AL,32.284823,-87.793787,36748,LINDEN,2103 S MAIN ST,1,Regular elementary or secondary,201,14,18,27,28,201,0,0,0,0,0,0,0
849,BESSEMER ACADEMY,AL,33.35473,-86.990301,35022,BESSEMER,1705 4TH AVE SW,1,Regular elementary or secondary,307,22,45,38,42,246,61,0,0,0,0,0,0
871,JOHN T MORGAN ACADEMY,AL,32.38909,-87.076211,36701,SELMA,2901 W DALLAS AVE,1,Regular elementary or secondary,489,39,48,30,43,464,5,5,14,0,0,1,0
882,JEFFERSON CHRISTIAN ACADEMY,AL,33.55014,-86.646621,35210,IRONDALE,1500 HERITAGE PLACE DR,1,Regular elementary or secondary,258,23,22,21,24,175,76,0,3,0,0,4,0
962,GLENWOOD SCHOOL,AL,32.537111,-85.050023,36877,SMITHS STATION,5801 SUMMERVILLE RD,1,Regular elementary or secondary,485,47,46,64,44,471,12,2,0,0,0,0,0
973,MARS HILL BIBLE SCHOOL,AL,34.84701,-87.658681,35630,FLORENCE,698 COX CREEK PKWY,1,Regular elementary or secondary,513,45,34,38,51,510,3,0,0,0,0,0,0
995,LOWNDES ACADEMY,AL,32.275857,-86.612907,36752,LOWNDESBORO,PO BOX 99,1,Regular elementary or secondary,235,23,19,19,26,231,3,0,1,0,0,0,0
1015,ESCAMBIA ACADEMY,AL,31.0301674,-87.4079439,36502,ATMORE,268 COWPEN CREEK RD,1,Regular elementary or secondary,203,23,32,22,25,147,10,1,2,36,5,2,0
1026,ABBEVILLE CHRISTIAN ACADEMY,AL,31.577009,-85.261624,36310,ABBEVILLE,PO BOX 9,1,Regular elementary or secondary,218,18,17,22,28,203,3,6,3,0,0,3,0
1332,THE DONOHO SCHOOL,AL,33.65449,-85.793311,36207,ANNISTON,2501 HENRY RD,1,Regular elementary or secondary,333,40,26,39,34,279,14,5,33,0,0,2,0
1354,MOBILE CHRISTIAN SCHOOL,AL,30.64391,-88.179541,36609,MOBILE,5900 COTTAGE HILL RD,1,Regular elementary or secondary,597,52,53,73,45,506,63,6,12,1,0,9,0
1401,INDIAN SPRINGS SCHOOL,AL,33.340378,-86.771348,35124,INDIAN SPRINGS,190 WOODWARD DR,1,Regular elementary or secondary,297,62,70,61,68,207,20,2,63,0,0,5,0
1412,WESTMINSTER CHRISTIAN ACADEMY,AL,34.759707,-86.67589,35806,HUNTSVILLE,237 JOHNS RD NW,1,Regular elementary or secondary,692,68,83,73,73,664,18,3,7,0,0,0,0
1445,ATHENS BIBLE SCHOOL,AL,34.7974569,-86.9558501,35611,ATHENS,507 HOFFMAN ST,1,Regular elementary or secondary,270,32,21,30,32,262,1,3,1,0,2,1,16
1478,TRINITY PRESBYTERIAN SCHOOL,AL,32.35375,-86.234241,36106,MONTGOMERY,1700 E TRINITY BLVD,1,Regular elementary or secondary,811,74,85,66,76,781,13,2,10,0,0,5,0
1503,HOUSTON ACADEMY,AL,31.2440083,-85.4490634,36303,DOTHAN,901 BUENA VISTA DR,1,Regular elementary or secondary,567,54,61,57,51,520,9,15,17,5,0,1,0
1525,SOUTH MONTGOMERY COUNTY ACADEMY,AL,31.99288,-86.198981,36036,GRADY,PO BOX 10,1,Regular elementary or secondary,123,12,10,15,17,117,5,1,0,0,0,0,0
1547,ST JAMES SCHOOL,AL,32.34099,-86.207227,36116,MONTGOMERY,6010 VAUGHN RD,1,Regular elementary or secondary,898,91,71,93,89,669,85,14,97,0,1,32,0
1558,TUSCALOOSA ACADEMY,AL,33.24414,-87.540681,35406,TUSCALOOSA,420 RICE VALLEY RD N,1,Regular elementary or secondary,406,38,35,40,42,379,12,1,5,1,4,4,0
1569,UMS-WRIGHT PREPARATORY SCHOOL,AL,30.68989,-88.105251,36607,MOBILE,65 MOBILE ST,1,Regular elementary or secondary,1070,96,89,84,91,1022,28,7,13,0,0,0,0
1591,MONTGOMERY ACADEMY,AL,32.35096,-86.259951,36106,MONTGOMERY,3240 VAUGHN RD,1,Regular elementary or secondary,840,65,75,65,75,730,55,5,50,0,0,0,0
1605,RANDOLPH SCHOOL,AL,34.70633,-86.558091,35802,HUNTSVILLE,1005 DRAKE AVE SE,1,Regular elementary or secondary,967,95,95,87,101,782,38,15,85,4,0,43,0
1616,THE ALTAMONT SCHOOL,AL,33.51355,-86.758041,35213,BIRMINGHAM,PO BOX 131429,1,Regular elementary or secondary,367,60,39,43,42,252,39,8,66,0,0,2,0
1682,CENTRAL CHRISTIAN SCHOOL,AL,30.546267,-87.726344,36567,ROBERTSDALE,17395 STATE HIGHWAY 104,1,Regular elementary or secondary,237,14,17,21,18,222,3,2,4,2,0,4,0
1693,CHAMBERS ACADEMY,AL,32.8730838,-85.4065209,36862,LAFAYETTE,15048 US HIGHWAY 431,1,Regular elementary or secondary,183,18,23,17,13,172,4,5,0,0,0,2,0
1729,COOSA VALLEY ACADEMY,AL,33.335135,-86.430268,35078,HARPERSVILLE,PO BOX 250,1,Regular elementary or secondary,228,26,30,29,32,225,0,0,1,1,1,0,0
1864,EDGEWOOD ACADEMY,AL,32.547302,-86.292789,36025,ELMORE,PO BOX 160,1,Regular elementary or secondary,309,35,31,29,22,287,18,1,0,0,0,3,0
1897,FORT DALE ACADEMY,AL,31.8361329,-86.6413485,36037,GREENVILLE,1100 GAMBLE ST,1,Regular elementary or secondary,481,36,33,31,40,472,1,2,0,6,0,0,0
1944,DECATUR HERITAGE CHRISTIAN ACADEMY,AL,34.53646,-86.998231,35601,DECATUR,PO BOX 5659,1,Regular elementary or secondary,404,36,41,46,23,365,13,4,20,0,0,2,0
2063,HOOPER ACADEMY,AL,32.25481,-86.361521,36043,HOPE HULL,380 FISCHER RD,1,Regular elementary or secondary,293,31,37,35,47,280,8,3,2,0,0,0,0
2096,THE LAKESIDE SCHOOL,AL,31.918214,-85.1361288,36027,EUFAULA,1020 LAKE DR,1,Regular elementary or secondary,293,26,28,26,15,276,7,3,5,1,0,1,0
2154,LYMAN WARD MILITARY ACADEMY,AL,32.802666,-85.660782,36850,CAMP HILL,PO BOX 550,1,Regular elementary or secondary,88,15,17,14,25,73,10,4,1,0,0,0,0
2165,MADISON ACADEMY,AL,34.70513,-86.703431,35758,MADISON,325 SLAUGHTER RD,1,Regular elementary or secondary,846,72,72,72,72,748,62,11,11,4,1,9,0
2198,MEADOWVIEW CHRISTIAN SCHOOL,AL,32.40478,-87.061921,36701,SELMA,1512 OLD ORRVILLE RD,1,Regular elementary or secondary,120,7,17,8,17,105,11,0,2,0,2,0,0
